,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads
10,NativeBase,GeekyAnts/NativeBase,ui-frameworks,native-base,https://github.com/GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,MIT,2016-04-15 11:37:23,2023-09-17 16:14:19,2023-08-04 14:18:44,6324.0,2.0,2286.0,270.0,2256.0,252.0,3161.0,19677.0,2023-03-06 09:32:54,3.4.28,100.0,"Mobile-first, accessible components for React Native & Web to build consistent UI across Android, iOS and Web.",2.0,2.0,299.0,https://www.npmjs.com/package/native-base,303778.0,303778.0,30,True,2,,
11,UI Kitten,akveo/react-native-ui-kitten,ui-frameworks,react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,https://github.com/akveo/react-native-ui-kitten,MIT,2016-12-20 08:22:38,2023-08-31 14:43:19,2023-06-12 07:53:24,841.0,,905.0,126.0,570.0,128.0,1016.0,9818.0,2023-04-26 16:36:36,5.3.1,31.0,React Native UI Library based on Eva Design System Dark Mode.,11160.0,11160.0,62.0,https://www.npmjs.com/package/react-native-ui-kitten,1029.0,1029.0,30,True,2,-1.0,
12,react-native-svg-charts,JesperLekland/react-native-svg-charts,chart-components,react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,https://github.com/JesperLekland/react-native-svg-charts,MIT,2017-10-30 09:28:29,2023-05-17 10:28:38,2020-04-14 18:49:24,386.0,,356.0,15.0,151.0,179.0,275.0,2270.0,2019-07-06 17:27:57,5.3.0,24.0,One library to rule all charts for React Native.,6674.0,6674.0,39.0,https://www.npmjs.com/package/react-native-svg-charts,118589.0,118589.0,29,True,1,,
13,Ignite,infinitered/ignite,app-frameworks,,https://github.com/infinitered/ignite,https://github.com/infinitered/ignite,MIT,2016-02-10 16:06:07,2023-09-20 04:04:20,2023-09-19 20:21:38,2445.0,16.0,1264.0,242.0,1041.0,30.0,1245.0,15741.0,2023-09-19 19:57:49,8.8.8,100.0,"Infinite Reds battle-tested React Native project boilerplate, along with a CLI, component/model generators, and more!.",2.0,2.0,198.0,,,,28,True,3,,
14,Shoutem UI,shoutem/ui,ui-frameworks,@shoutem/ui,https://github.com/shoutem/ui,https://github.com/shoutem/ui,,2016-08-08 15:26:08,2023-09-13 14:03:55,2023-09-13 14:02:58,1253.0,22.0,434.0,95.0,471.0,101.0,215.0,4831.0,2023-01-10 14:17:30,6.1.2,84.0,Customizable set of components for React Native applications.,1404.0,1404.0,55.0,https://www.npmjs.com/package/@shoutem/ui,4713.0,4713.0,28,True,3,,37.0
15,react-native-chart-kit,indiespirit/react-native-chart-kit,chart-components,react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,https://github.com/indiespirit/react-native-chart-kit,MIT,2017-12-20 02:30:08,2023-06-12 13:43:45,2022-02-08 04:03:57,336.0,,592.0,13.0,176.0,376.0,151.0,2607.0,,,,"React Native Chart Kit: Line Chart, Bezier Line Chart, Progress Ring, Bar chart, Pie chart, Contribution graph..",14087.0,14087.0,102.0,https://www.npmjs.com/package/react-native-chart-kit,149567.0,149567.0,27,True,2,,
16,react-native-charts-wrapper,wuxudong/react-native-charts-wrapper,chart-components,react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,,2017-03-03 07:58:57,2023-08-08 10:43:30,2023-04-25 01:56:55,332.0,,594.0,51.0,114.0,183.0,673.0,2352.0,2022-10-15 10:15:27,0.5.11,34.0,a react native charts wrapper (support android & iOS).,1273.0,1273.0,55.0,https://www.npmjs.com/package/react-native-charts-wrapper,49556.0,49556.0,27,True,2,,
17,RNMK,xinthink/react-native-material-kit,ui-frameworks,react-native-material-kit,https://github.com/xinthink/react-native-material-kit,https://github.com/xinthink/react-native-material-kit,MIT,2015-07-01 12:33:24,2023-01-04 06:15:00,2020-03-08 04:28:42,496.0,,564.0,101.0,163.0,150.0,156.0,4842.0,2016-12-18 05:14:29,0.3.4,15.0,Bringing Material Design to React Native.,1550.0,1550.0,76.0,https://www.npmjs.com/package/react-native-material-kit,744.0,744.0,26,True,3,,
18,React Native Material UI,xotahal/react-native-material-ui,ui-frameworks,react-native-material-ui,https://github.com/xotahal/react-native-material-ui,https://github.com/xotahal/react-native-material-ui,MIT,2016-03-24 15:40:53,2023-04-19 08:31:36,2019-04-19 21:39:12,524.0,,599.0,89.0,205.0,169.0,145.0,3785.0,2019-04-20 05:02:31,2.0.0-alpha.1@deelop,20.0,Highly customizable material design components for React Native.,2931.0,2931.0,71.0,https://www.npmjs.com/package/react-native-material-ui,3738.0,3738.0,25,True,3,,
19,Galio,galio-org/galio,ui-frameworks,galio,https://github.com/galio-org/galio,https://github.com/galio-org/galio,MIT,2018-06-17 16:14:11,2023-04-20 22:58:40,2022-03-30 11:06:58,419.0,,310.0,56.0,131.0,42.0,85.0,3049.0,2022-03-30 11:08:29,0.8.1,11.0,"Galio is a beautifully designed, Free and Open Source React Native Framework.",2675.0,2675.0,37.0,https://www.npmjs.com/package/galio,,,23,True,3,,
20,Teaset,rilyu/teaset,ui-frameworks,teaset,https://github.com/rilyu/teaset,https://github.com/rilyu/teaset,MIT,2016-12-07 03:48:10,2021-05-29 08:52:27,2020-10-23 07:45:44,144.0,,469.0,70.0,29.0,189.0,245.0,2928.0,2020-04-01 09:07:17,0.7.4,20.0,"A UI library for react native, provides 20+ pure JS(ES6) components, focusing on content display and action control.",726.0,726.0,13.0,https://www.npmjs.com/package/teaset,530.0,530.0,23,True,3,,
21,react-native-pathjs-charts,capitalone/react-native-pathjs-charts,chart-components,react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,https://github.com/capitalone/react-native-pathjs-charts,Apache-2.0,2016-07-29 19:43:20,2018-03-01 15:28:09,2018-03-01 15:28:09,128.0,,252.0,36.0,74.0,72.0,87.0,879.0,2018-02-19 01:42:23,0.0.34,14.0,Android and iOS charts based on react-native-svg and paths-js.,674.0,674.0,27.0,https://www.npmjs.com/package/react-native-pathjs-charts,218.0,218.0,22,False,2,,
22,react-native-echarts,wuba/react-native-echarts,chart-components,@wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,https://github.com/wuba/react-native-echarts,Apache-2.0,2023-01-09 06:12:24,2023-09-21 14:43:11,2023-09-21 14:43:11,98.0,16.0,23.0,18.0,64.0,11.0,36.0,456.0,2023-09-11 08:55:33,1.2.4,13.0,"React Native ECharts Library: An awesome charting library for React Native, built upon Apache ECharts and leveraging..",34.0,34.0,13.0,https://www.npmjs.com/package/@wuba/react-native-echarts,4040.0,4040.0,21,True,3,,
23,react-native-graph,margelo/react-native-graph,chart-components,react-native-graph,https://github.com/margelo/react-native-graph,https://github.com/margelo/react-native-graph,MIT,2022-04-29 12:40:18,2023-09-01 23:19:54,2023-09-01 23:19:54,84.0,1.0,71.0,13.0,32.0,21.0,34.0,1550.0,2023-02-20 10:49:18,1.0.1,5.0,"Beautiful, high-performance Graphs and Charts for React Native built with Skia.",86.0,86.0,12.0,https://www.npmjs.com/package/react-native-graph,3654.0,3654.0,20,True,3,,
24,Nachos UI,nachos-ui/nachos-ui,ui-frameworks,nachos-ui,https://github.com/nachos-ui/nachos-ui,https://github.com/nachos-ui/nachos-ui,MIT,2017-01-30 14:22:09,2021-03-12 10:42:57,2018-08-15 19:47:46,58.0,,120.0,34.0,14.0,13.0,34.0,2065.0,,,,Nachos UI is a React Native component library.,339.0,339.0,10.0,https://www.npmjs.com/package/nachos-ui,282.0,282.0,19,False,3,,
25,Material Kit React Native,creativetimofficial/material-kit-react-native,templates,material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,https://github.com/creativetimofficial/material-kit-react-native,MIT,2019-01-09 12:35:13,2023-08-14 11:31:19,2023-08-14 11:30:34,67.0,7.0,632.0,18.0,9.0,2.0,26.0,551.0,2023-08-14 11:31:19,1.10.0,9.0,Material Kit React Native.,,,9.0,https://www.npmjs.com/package/material-kit-react-native,,,16,True,1,,
26,react-native-highcharts,TradingPal/react-native-highcharts,chart-components,react-native-highcharts,https://github.com/TradingPal/react-native-highcharts,https://github.com/TradingPal/react-native-highcharts,,2016-11-18 17:56:58,2022-03-23 08:45:14,2017-12-01 22:33:30,74.0,,128.0,9.0,32.0,59.0,40.0,253.0,,,,Add Highcharts charts to react-native app for IOS and Android.,267.0,267.0,5.0,https://www.npmjs.com/package/react-native-highcharts,413.0,413.0,15,False,3,,
27,react-native-animated-charts,rainbow-me/react-native-animated-charts,chart-components,@rainbow-me/animated-charts,https://github.com/rainbow-me/react-native-animated-charts,https://github.com/rainbow-me/react-native-animated-charts,MIT,2020-09-14 19:18:48,2022-10-02 23:16:37,2021-10-25 17:08:17,19.0,,94.0,15.0,14.0,57.0,25.0,871.0,,,6.0,Set of components and helpers for building complex and beautifully animated charts.,2.0,2.0,5.0,https://www.npmjs.com/package/@rainbow-me/animated-charts,1127.0,1127.0,14,True,3,,
28,react-native-skia-charts,vladanyes/react-native-skia-charts,chart-components,react-native-skia-charts,https://github.com/vladanyes/react-native-skia-charts,https://github.com/vladanyes/react-native-skia-charts,MIT,2022-12-28 17:49:18,2023-03-13 08:45:32,2023-03-13 08:45:20,54.0,,8.0,7.0,4.0,2.0,4.0,124.0,,,1.0,High-performance charts for react-native.,9.0,9.0,3.0,https://www.npmjs.com/package/react-native-skia-charts,77.0,77.0,10,True,3,,
29,react-native-charts,chartiful/react-native-charts,chart-components,@chartiful/react-native-chart-builder,,{},,,,,,,,,,,,,,,,,,,,https://www.npmjs.com/package/@chartiful/react-native-chart-builder,1076.0,1076.0,2,False,3,-1.0,
