,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-05-23 12:16:44,2024-05-13 08:49:23,2820.0,77.0,4808.0,321.0,1823.0,708.0,8684.0,23311.0,2024-03-18 18:16:56,@react-navigation/core@6.4.16,100.0,Routing and navigation for your React Native apps.,934402.0,934402.0,282.0,https://www.npmjs.com/package/@react-navigation/native,3926764.0,3926764.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-05-23 14:28:48,2024-05-20 13:48:26,1561.0,45.0,4589.0,215.0,1221.0,41.0,3584.0,14808.0,2024-05-20 13:48:35,1.15.2,100.0,React Native Mapview component for iOS + Android.,175827.0,175827.0,495.0,https://www.npmjs.com/package/react-native-maps,1061081.0,1061081.0,43,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-05-23 17:39:32,2024-05-23 06:59:13,22083.0,1168.0,4661.0,288.0,14658.0,397.0,13270.0,29796.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",919868.0,919868.0,1354.0,,,,41,True,1,MIT,,
3,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-05-17 16:30:25,2024-05-17 07:55:57,627.0,9.0,2068.0,205.0,392.0,142.0,1083.0,17251.0,2024-05-01 12:01:37,10.1.0,69.0,Customizable Icons for React Native with support for image source and full styling.,588634.0,588634.0,148.0,https://www.npmjs.com/package/react-native-vector-icons,1976829.0,1976829.0,39,True,1,MIT,,
4,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-05-17 09:57:30,2024-04-07 18:19:54,809.0,15.0,1711.0,232.0,391.0,28.0,797.0,16518.0,2024-04-07 13:55:57,6.7.2,40.0,Lottie wrapper for React Native.,114205.0,114205.0,146.0,https://www.npmjs.com/package/lottie-react-native,1380246.0,1380246.0,39,True,1,Apache-2.0,,
5,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-05-23 14:26:29,2024-05-04 07:01:36,2080.0,1.0,2008.0,119.0,1879.0,189.0,2243.0,12318.0,2024-01-24 19:36:21,5.12.3,100.0,Material Design for React Native (Android & iOS).,194917.0,194917.0,325.0,https://www.npmjs.com/package/react-native-paper,889300.0,889300.0,39,True,1,MIT,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-05-21 17:52:01,2023-10-11 12:47:32,1397.0,,3278.0,195.0,876.0,161.0,1458.0,13253.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,27695.0,27695.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,143549.0,143549.0,38,True,1,MIT,13.0,
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-05-17 13:32:48,2024-05-16 13:50:33,8559.0,28.0,507.0,121.0,907.0,100.0,1746.0,10804.0,2024-04-04 19:02:58,37.0.2,100.0,A collection of composable React components for building interactive data visualizations.,24271.0,24271.0,235.0,https://www.npmjs.com/package/victory-native,372033.0,372033.0,37,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-05-23 15:33:57,2024-05-23 12:48:20,4167.0,87.0,679.0,326.0,2287.0,76.0,572.0,6194.0,2024-05-16 08:22:37,7.22.0,100.0,UI Components Library for React Native.,4010.0,4010.0,148.0,https://www.npmjs.com/package/react-native-ui-lib,320959.0,320959.0,36,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-05-01 22:24:47,2024-02-04 03:55:07,2427.0,,4550.0,368.0,1643.0,98.0,2003.0,24666.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,529339.0,529339.0,33,True,2,MIT,,
