,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending
0,react-navigation,react-navigation/react-navigation,routing,@react-navigation/native,https://github.com/react-navigation/react-navigation,https://github.com/react-navigation/react-navigation,2017-01-26 19:51:40,2024-06-06 06:23:34,2024-05-13 08:49:23,2820.0,45.0,4811.0,320.0,1824.0,709.0,8688.0,23346.0,2024-03-18 18:16:56,@react-navigation/core@6.4.16,100.0,Routing and navigation for your React Native apps.,944219.0,944219.0,282.0,https://www.npmjs.com/package/@react-navigation/native,3984858.0,3984858.0,43,True,1,,,
1,react-native-maps,react-native-maps/react-native-maps,map-components,react-native-maps,https://github.com/react-native-maps/react-native-maps,https://github.com/react-native-maps/react-native-maps,2015-12-29 19:54:20,2024-06-04 01:47:52,2024-05-30 16:01:44,1570.0,52.0,4586.0,215.0,1224.0,38.0,3599.0,14846.0,2024-05-30 16:01:52,1.15.6,100.0,React Native Mapview component for iOS + Android.,176730.0,176730.0,497.0,https://www.npmjs.com/package/react-native-maps,1066240.0,1066240.0,43,True,1,MIT,,
2,Expo,expo/expo,app-frameworks,,https://github.com/expo/expo,https://github.com/expo/expo,2016-08-15 17:14:25,2024-06-06 17:38:59,2024-06-06 17:38:58,22201.0,1143.0,4691.0,291.0,14794.0,403.0,13362.0,30208.0,2019-07-22 09:38:14,ios/2.12.0,8.0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",930149.0,930149.0,1365.0,,,,41,True,1,MIT,,
3,react-native-vector-icons,oblador/react-native-vector-icons,icon-components,react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,https://github.com/oblador/react-native-vector-icons,2015-05-15 16:38:57,2024-05-30 16:36:29,2024-05-17 07:55:57,627.0,9.0,2068.0,206.0,393.0,144.0,1083.0,17280.0,2024-05-01 12:01:37,10.1.0,69.0,Customizable Icons for React Native with support for image source and full styling.,592580.0,592580.0,148.0,https://www.npmjs.com/package/react-native-vector-icons,1984469.0,1984469.0,39,True,1,MIT,,
4,Lottie React Native,lottie-react-native/lottie-react-native,ui-frameworks,lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,https://github.com/lottie-react-native/lottie-react-native,2017-01-27 18:24:50,2024-05-17 09:57:30,2024-04-07 18:19:54,809.0,10.0,1710.0,232.0,391.0,26.0,800.0,16540.0,2024-04-07 13:55:57,6.7.2,40.0,Lottie wrapper for React Native.,114697.0,114697.0,146.0,https://www.npmjs.com/package/lottie-react-native,1389766.0,1389766.0,39,True,1,Apache-2.0,,
5,React Native Paper,callstack/react-native-paper,ui-frameworks,react-native-paper,https://github.com/callstack/react-native-paper,https://github.com/callstack/react-native-paper,2016-10-19 05:56:53,2024-05-28 10:35:13,2024-05-04 07:01:36,2080.0,1.0,2014.0,120.0,1880.0,193.0,2248.0,12390.0,2024-01-24 19:36:21,5.12.3,100.0,Material Design for React Native (Android & iOS).,197070.0,197070.0,325.0,https://www.npmjs.com/package/react-native-paper,876802.0,876802.0,39,True,1,MIT,,
6,Gifted Chat,FaridSafi/react-native-gifted-chat,chat-components,react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,2015-11-14 15:45:34,2024-05-30 19:00:29,2024-05-30 19:00:28,1398.0,1.0,3281.0,195.0,876.0,161.0,1459.0,13279.0,2023-06-13 15:57:23,2.4.0,67.0,The most complete chat UI for React Native.,27859.0,27859.0,218.0,https://www.npmjs.com/package/react-native-gifted-chat,149669.0,149669.0,37,True,1,MIT,13.0,-1.0
7,victory-native,FormidableLabs/victory,chart-components,victory-native,https://github.com/FormidableLabs/victory,https://github.com/FormidableLabs/victory,2015-07-02 22:36:50,2024-05-31 21:27:15,2024-05-29 19:11:40,8560.0,19.0,508.0,120.0,909.0,90.0,1758.0,10825.0,2024-04-04 19:02:58,37.0.2,100.0,A collection of composable React components for building interactive data visualizations.,24418.0,24418.0,235.0,https://www.npmjs.com/package/victory-native,355776.0,355776.0,37,True,1,,,
8,RNUI,wix/react-native-ui-lib,ui-frameworks,react-native-ui-lib,https://github.com/wix/react-native-ui-lib,https://github.com/wix/react-native-ui-lib,2017-02-08 09:55:18,2024-06-06 12:41:54,2024-06-06 06:12:08,4192.0,106.0,679.0,325.0,2316.0,82.0,573.0,6228.0,2024-05-28 10:37:41,7.23.0,100.0,UI Components Library for React Native.,4047.0,4047.0,149.0,https://www.npmjs.com/package/react-native-ui-lib,330884.0,330884.0,37,True,2,MIT,,
9,React Native Elements,react-native-elements/react-native-elements,ui-frameworks,react-native-elements,https://github.com/react-native-elements/react-native-elements,https://github.com/react-native-elements/react-native-elements,2016-09-08 14:21:41,2024-05-01 22:24:47,2024-02-04 03:55:07,2427.0,,4551.0,367.0,1643.0,98.0,2004.0,24711.0,2023-07-28 19:23:36,4.0.0-rc.8,85.0,Cross-Platform React Native UI Toolkit.,5.0,5.0,413.0,https://www.npmjs.com/package/react-native-elements,505495.0,505495.0,33,True,2,MIT,,
